config,model,mae,rmse,epochs,window,hidden_size,lr,batch_size
btc_only,LSTM,0.03791598110606836,0.05195936645256461,10,3,64,0.0005,32
btc_only,LSTM_Attn,0.03869955689541819,0.05254017206691453,10,3,64,0.0005,32
btc_only,GRU,0.03858308613190549,0.05251724198043317,10,3,64,0.0005,32
btc_only,CNN,0.044139062418624246,0.0594269463958541,10,3,64,0.0005,32
btc_only,LSTM,0.037855442416032684,0.052023902845317826,10,3,128,0.001,8
btc_only,LSTM_Attn,0.03813190793123051,0.052175235999207835,10,3,128,0.001,8
btc_only,GRU,0.03833485151372428,0.05240220361209044,10,3,128,0.001,8
btc_only,CNN,0.04589203540635702,0.0628454705268069,10,3,128,0.001,8
btc_only,LSTM,0.03825024262223788,0.05217146030401675,10,3,128,0.001,16
btc_only,LSTM_Attn,0.03813917940870174,0.05209892904675067,10,3,128,0.001,16
btc_only,GRU,0.038009500188340366,0.05212219689373184,10,3,128,0.001,16
btc_only,CNN,0.03992449435795402,0.054169565401310925,10,3,128,0.001,16
btc_only,LSTM,0.03805345643266899,0.052265977805056464,10,3,128,0.001,32
btc_only,LSTM_Attn,0.037960501742384266,0.052008089629732836,10,3,128,0.001,32
btc_only,GRU,0.03793888562528297,0.052162189213757065,10,3,128,0.001,32
btc_only,CNN,0.03944803571054568,0.05369056764658857,10,3,128,0.001,32
btc_only,LSTM,0.03796857393454276,0.05206219635546988,10,3,128,0.0005,8
btc_only,LSTM_Attn,0.038106425876248295,0.05207180731339968,10,3,128,0.0005,8
btc_only,GRU,0.037721626550637634,0.05196473415564228,10,3,128,0.0005,8
btc_only,CNN,0.04431094711893288,0.060692471093033336,10,3,128,0.0005,8
btc_only,LSTM,0.038104674127838904,0.05225092753690337,10,3,128,0.0005,16
btc_only,LSTM_Attn,0.037995113293610674,0.052014164347059855,10,3,128,0.0005,16
btc_only,GRU,0.037759787034656316,0.052009139235001015,10,3,128,0.0005,16
btc_only,CNN,0.04388883057394103,0.05845987212524949,10,3,128,0.0005,16
btc_only,LSTM,0.038153469569120815,0.05205483999290425,10,3,128,0.0005,32
btc_only,LSTM_Attn,0.03780043283823617,0.05202631268195236,10,3,128,0.0005,32
btc_only,GRU,0.03787335165739157,0.05205477726947708,10,3,128,0.0005,32
btc_only,CNN,0.04001553676929253,0.05522308116223776,10,3,128,0.0005,32
btc_only,LSTM,0.037800765630433955,0.05208141787456266,10,3,256,0.001,8
btc_only,LSTM_Attn,0.03814816173138345,0.05211988108199625,10,3,256,0.001,8
btc_only,GRU,0.03817733724392612,0.05216875998786736,10,3,256,0.001,8
btc_only,CNN,0.044336275511529556,0.05941435300464176,10,3,256,0.001,8
btc_only,LSTM,0.038303323894933225,0.052416275234821064,10,3,256,0.001,16
btc_only,LSTM_Attn,0.038613933833778626,0.05266603116000345,10,3,256,0.001,16
btc_only,GRU,0.03819540982177108,0.052243050108418974,10,3,256,0.001,16
btc_only,CNN,0.04013651290512077,0.054952415602964926,10,3,256,0.001,16
btc_only,LSTM,0.03808827830885976,0.0522351097370567,10,3,256,0.001,32
btc_only,LSTM_Attn,0.038326326271218666,0.05241211420909829,10,3,256,0.001,32
btc_only,GRU,0.03839406499980734,0.05245859606168744,10,3,256,0.001,32
btc_only,CNN,0.037968059513765466,0.05231473262924119,10,3,256,0.001,32
btc_only,LSTM,0.03799826578283162,0.05214735875730118,10,3,256,0.0005,8
btc_only,LSTM_Attn,0.03777588829817279,0.051880867601681015,10,3,256,0.0005,8
btc_only,GRU,0.037672264348907906,0.052145235862811834,10,3,256,0.0005,8
btc_only,CNN,0.043968000528811765,0.05861905038532096,10,3,256,0.0005,8
btc_only,LSTM,0.038570839505429964,0.05257256980933642,10,3,256,0.0005,16
btc_only,LSTM_Attn,0.03866938794567019,0.05253571005441977,10,3,256,0.0005,16
btc_only,GRU,0.037973568329242174,0.05228669080961571,10,3,256,0.0005,16
btc_only,CNN,0.040964539242429425,0.05626317761906147,10,3,256,0.0005,16
btc_only,LSTM,0.03805215644118952,0.05215085118743797,10,3,256,0.0005,32
btc_only,LSTM_Attn,0.03819488424642766,0.05216548116557914,10,3,256,0.0005,32
btc_only,GRU,0.03805495757868494,0.05194826318492642,10,3,256,0.0005,32
btc_only,CNN,0.044326353541170836,0.058297469414927534,10,3,256,0.0005,32
btc_only,LSTM,0.038584416079463606,0.05262681618558899,10,7,32,0.001,8
btc_only,LSTM_Attn,0.03866164971399746,0.052675214350315434,10,7,32,0.001,8
btc_only,GRU,0.038567943910811,0.052568863341989736,10,7,32,0.001,8
btc_only,CNN,0.04430481128433193,0.059025121987503426,10,7,32,0.001,8
btc_only,LSTM,0.03868560183499985,0.05265974234987822,10,7,32,0.001,16
btc_only,LSTM_Attn,0.03930609798757647,0.053194650578720165,10,7,32,0.001,16
btc_only,GRU,0.038602858052876984,0.05266530025488173,10,7,32,0.001,16
btc_only,CNN,0.04052078567090019,0.05479170785286934,10,7,32,0.001,16
btc_only,LSTM,0.03900435609151807,0.05292741784190385,10,7,32,0.001,32
btc_only,LSTM_Attn,0.038502343153023894,0.05246724236836754,10,7,32,0.001,32
btc_only,GRU,0.039178781232814826,0.05296014918839128,10,7,32,0.001,32
btc_only,CNN,0.043536199297913365,0.0580711174326697,10,7,32,0.001,32
btc_only,LSTM,0.038629405350559344,0.052630087478566075,10,7,32,0.0005,8
btc_only,LSTM_Attn,0.03884657816235272,0.052783289594873106,10,7,32,0.0005,8
btc_only,GRU,0.03840024021676763,0.052333657682143445,10,7,32,0.0005,8
btc_only,CNN,0.04622452130871927,0.06216387544994218,10,7,32,0.0005,8
btc_only,LSTM,0.03875164210949445,0.05260746310062345,10,7,32,0.0005,16
btc_only,LSTM_Attn,0.03884869898393652,0.05278277535591459,10,7,32,0.0005,16
btc_only,GRU,0.03846630098362938,0.05257040331422497,10,7,32,0.0005,16
btc_only,CNN,0.043616399117524456,0.05851656005607678,10,7,32,0.0005,16
btc_only,LSTM,0.03867824893114897,0.052579879048514556,10,7,32,0.0005,32
btc_only,LSTM_Attn,0.038468903476380316,0.05238801758585678,10,7,32,0.0005,32
btc_only,GRU,0.03876229395549189,0.052632634366130145,10,7,32,0.0005,32
btc_only,CNN,0.043120204597110426,0.056700295477011026,10,7,32,0.0005,32
btc_only,LSTM,0.03864400989997982,0.05259204323098958,10,7,64,0.001,8
btc_only,LSTM_Attn,0.039083643319992804,0.05303760981685671,10,7,64,0.001,8
btc_only,GRU,0.038648502408385764,0.05276277547394683,10,7,64,0.001,8
btc_only,CNN,0.04964734031721535,0.06491049296436474,10,7,64,0.001,8
btc_only,LSTM,0.038683163240203405,0.05258005602706803,10,7,64,0.001,16
btc_only,LSTM_Attn,0.03885146695832296,0.05280041452106751,10,7,64,0.001,16
btc_only,GRU,0.038890894554484086,0.05277599427380369,10,7,64,0.001,16
btc_only,CNN,0.04573465646818738,0.06099894047511072,10,7,64,0.001,16
btc_only,LSTM,0.039014931424575294,0.052962637943078546,10,7,64,0.001,32
btc_only,LSTM_Attn,0.03905802519669667,0.05288515884471457,10,7,64,0.001,32
btc_only,GRU,0.038556240001236815,0.05318180360918452,10,7,64,0.001,32
btc_only,CNN,0.04207625081207647,0.05578875581576631,10,7,64,0.001,32
btc_only,LSTM,0.03905139031522909,0.053013730885489926,10,7,64,0.0005,8
btc_only,LSTM_Attn,0.038610045097067405,0.05259807422598905,10,7,64,0.0005,8
